date,tmax,tmin
2026-02-24,23.4,8.9
2026-02-25,25.0,12.7
2026-02-26,17.5,10.2
2026-02-27,20.1,9.1
2026-02-28,22.0,7.8
2026-03-01,24.5,10.0
2026-03-02,16.3,9.1
