date,tmax,tmin
2026-02-24,19.2,6.2
2026-02-25,23.9,6.4
2026-02-26,11.4,4.9
2026-02-27,12.0,1.9
2026-02-28,14.5,0.6
2026-03-01,19.1,3.7
2026-03-02,10.7,4.8
