date,tmax,tmin
2026-02-24,19.6,6.5
2026-02-25,22.8,7.7
2026-02-26,11.9,5.6
2026-02-27,10.6,1.0
2026-02-28,16.7,0.8
2026-03-01,21.3,5.9
2026-03-02,11.1,2.8
