date,tmax,tmin
2026-02-24,16.1,7.3
2026-02-25,18.5,8.9
2026-02-26,13.2,7.2
2026-02-27,12.2,5.8
2026-02-28,12.5,4.3
2026-03-01,15.5,5.4
2026-03-02,15.3,8.2
