date,tmax,tmin
2026-02-24,9.2,2.7
2026-02-25,5.0,1.9
2026-02-26,4.5,-1.9
2026-02-27,3.2,-3.7
2026-02-28,5.9,-4.8
2026-03-01,4.8,-1.9
2026-03-02,5.2,-4.0
