date,tmax,tmin
2026-02-24,16.8,4.8
2026-02-25,19.2,7.3
2026-02-26,12.8,8.6
2026-02-27,14.4,4.5
2026-02-28,14.2,4.8
2026-03-01,16.6,2.7
2026-03-02,16.3,4.2
