date,tmax,tmin
2026-02-24,14.8,4.0
2026-02-25,20.5,6.0
2026-02-26,13.8,7.0
2026-02-27,7.6,2.3
2026-02-28,9.2,2.0
2026-03-01,14.6,0.5
2026-03-02,12.6,5.7
