date,tmax,tmin
2026-02-24,14.7,5.1
2026-02-25,22.7,5.4
2026-02-26,13.1,7.0
2026-02-27,10.1,3.4
2026-02-28,11.8,1.0
2026-03-01,16.9,0.4
2026-03-02,12.6,6.6
