date,tmax,tmin
2026-02-24,21.5,5.7
2026-02-25,22.4,7.9
2026-02-26,13.0,4.4
2026-02-27,11.0,0.2
2026-02-28,15.7,-1.4
2026-03-01,22.0,3.1
2026-03-02,10.5,2.3
