date,tmax,tmin
2026-02-24,14.7,3.8
2026-02-25,17.5,3.9
2026-02-26,12.1,8.5
2026-02-27,13.3,6.0
2026-02-28,12.6,3.1
2026-03-01,14.9,3.3
2026-03-02,14.8,4.8
