date,tmax,tmin
2026-02-24,15.1,4.4
2026-02-25,21.3,6.2
2026-02-26,14.8,7.0
2026-02-27,9.7,3.4
2026-02-28,10.8,2.1
2026-03-01,16.3,1.2
2026-03-02,12.2,7.2
